"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location"
"RT @MindfulMajority: I'm joining the #MarchForOurLives in #Denver because, American, we need an intervention about our #GunViolence epidemi…",FALSE,0,NA,"2018-03-24 23:56:19",FALSE,NA,977695637591347200,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jeannie_Hartley",19,TRUE,FALSE,NA,NA,"worldwide"
"RT @FCNL: Since Columbine, nearly 200,000 young people have been exposed to #GunViolence at school. That is disgraceful. Congress has faile…",FALSE,0,NA,"2018-03-24 23:56:06",FALSE,NA,977695581916291072,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ArtSmithApostle",13,TRUE,FALSE,NA,NA,"Independence, Missouri, USA"
"RT @tedlieu: My view before speaking at the South Bay #MarchForOurLives at the #HermosaBeach Pier. Thousands of Americans overflowed the Pi…",FALSE,0,NA,"2018-03-24 23:55:57",FALSE,NA,977695545522180096,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CanadiensFan",1993,TRUE,FALSE,NA,NA,""
"RT @JerritaFox13: It was a strong showing by the young (and older)...who are saying ‘enough is enough’ concerning #GunViolence More @FOX13M…",FALSE,0,NA,"2018-03-24 23:55:39",FALSE,NA,977695469718638592,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","FOX13Memphis",10,TRUE,FALSE,NA,NA,"Memphis, TN"
"RT @FCNL: Since Columbine, nearly 200,000 young people have been exposed to #GunViolence at school. That is disgraceful. Congress has faile…",FALSE,0,NA,"2018-03-24 23:55:11",FALSE,NA,977695352357711872,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Chloe321SJA",13,TRUE,FALSE,NA,NA,""
"It was a strong showing by the young (and older)...who are saying ‘enough is enough’ concerning #GunViolence More… https://t.co/f42MZxgaAa",FALSE,18,NA,"2018-03-24 23:55:10",TRUE,NA,977695347811250176,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JerritaFox13",10,FALSE,FALSE,NA,NA,"Memphis, TN"
"RT @petermissouri: In these students and young people, the gun lobby has finally met its match. I'm hopeful that we will finally see sensib…",FALSE,0,NA,"2018-03-24 23:54:49",FALSE,NA,977695262331334656,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JamieEldridgeMA",3,TRUE,FALSE,NA,NA,"Acton, MA"
"RT @tedlieu: My view before speaking at the South Bay #MarchForOurLives at the #HermosaBeach Pier. Thousands of Americans overflowed the Pi…",FALSE,0,NA,"2018-03-24 23:54:46",FALSE,NA,977695248234184704,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","maymartymartha",1993,TRUE,FALSE,NA,NA,"Alabama, USA"
"Bulletproof backpack #SEO sales and functionalities show that the bulletproof doesn't wear off. It all depends on t… https://t.co/jORRdQxj9e",FALSE,6,NA,"2018-03-24 23:54:39",TRUE,NA,977695217972375552,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DiscoverBlogNY",4,FALSE,FALSE,NA,NA,"Tribeca NYC"
"RT @tedlieu: My view before speaking at the South Bay #MarchForOurLives at the #HermosaBeach Pier. Thousands of Americans overflowed the Pi…",FALSE,0,NA,"2018-03-24 23:54:32",FALSE,NA,977695187546681344,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gettagripon",1993,TRUE,FALSE,NA,NA,"Northern California"
"RT @tedlieu: My view before speaking at the South Bay #MarchForOurLives at the #HermosaBeach Pier. Thousands of Americans overflowed the Pi…",FALSE,0,NA,"2018-03-24 23:54:14",FALSE,NA,977695113181724672,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EWOKinLA",1993,TRUE,FALSE,NA,NA,"Los Angeles Baby!"
"RT @RevJJackson: https://t.co/LgBOr5vgkA: #MLK50 #MarchForOurLives #nonviolence #DontShootVote: #Students use #detention #punishment 2 #pro…",FALSE,0,NA,"2018-03-24 23:54:09",FALSE,NA,977695092449431552,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","BetsynNashville",11,TRUE,FALSE,NA,NA,"Nashville, TN"
"RT @tedlieu: My view before speaking at the South Bay #MarchForOurLives at the #HermosaBeach Pier. Thousands of Americans overflowed the Pi…",FALSE,0,NA,"2018-03-24 23:54:04",FALSE,NA,977695073793032192,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Robbi3K",1993,TRUE,FALSE,NA,NA,"St. Louis MO"
"RT @nyupublichealth: Every day, 96 Americans are killed with guns. #GunViolence is a #PublicHealth issue. It’s time to spit the facts! #Sav…",FALSE,0,NA,"2018-03-24 23:53:56",FALSE,NA,977695040423256064,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","karlainafrica",5,TRUE,FALSE,NA,NA,"Queens, NY"
"RT @tedlieu: My view before speaking at the South Bay #MarchForOurLives at the #HermosaBeach Pier. Thousands of Americans overflowed the Pi…",FALSE,0,NA,"2018-03-24 23:53:15",FALSE,NA,977694866174967808,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mmbbkk",1993,TRUE,FALSE,NA,NA,"santa ynez, cali"
"RT @SenJackReed: Very inspired by the turnout on the streets of DC today. Fantastic energy &amp; enthusiasm for sensible gun control &amp; against…",FALSE,0,NA,"2018-03-24 23:52:57",FALSE,NA,977694789855514624,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tigernh03",93,TRUE,FALSE,NA,NA,""
"RT @SenJackReed: Very inspired by the turnout on the streets of DC today. Fantastic energy &amp; enthusiasm for sensible gun control &amp; against…",FALSE,0,NA,"2018-03-24 23:52:54",FALSE,NA,977694777784356864,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EricTyler_E",93,TRUE,FALSE,NA,NA,"Murfreesboro, TN"
"RT @tedlieu: My view before speaking at the South Bay #MarchForOurLives at the #HermosaBeach Pier. Thousands of Americans overflowed the Pi…",FALSE,0,NA,"2018-03-24 23:52:46",FALSE,NA,977694745165103104,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","devans00",1993,TRUE,FALSE,NA,NA,"Silicon Valley, CA"
"RT @FCNL: Since Columbine, nearly 200,000 young people have been exposed to #GunViolence at school. That is disgraceful. Congress has faile…",FALSE,0,NA,"2018-03-24 23:52:45",FALSE,NA,977694741792985088,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","stansfhf",13,TRUE,FALSE,NA,NA,"Pennsylvania, USA"
"RT @BorderImaginary: 7 a stray bullet came thru my bdrm window, 10 drunk next door neighbor shot his dog to piss off his wife, 13 friend mi…",FALSE,0,NA,"2018-03-24 23:52:38",FALSE,NA,977694712223055872,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","redboybroken",13,TRUE,FALSE,NA,NA,""
"I first published this blog post when the Sandy Hook shooting occurred. This is my childhood story. #GunControlNow… https://t.co/um9GpxeLZT",FALSE,1,NA,"2018-03-24 23:52:11",TRUE,NA,977694597467033600,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rebekahlgilbert",0,FALSE,FALSE,NA,NA,"Birmingham, Alabama"
"RT @tedlieu: My view before speaking at the South Bay #MarchForOurLives at the #HermosaBeach Pier. Thousands of Americans overflowed the Pi…",FALSE,0,NA,"2018-03-24 23:52:10",FALSE,NA,977694594384220160,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TeresaHutson1",1993,TRUE,FALSE,NA,NA,"Midwest "
"RT @MindfulMajority: Tomorrow, my wife and I, along with our 3 elementary school-age children will #MarchForOurLives in Denver, b/c #NeverA…",FALSE,0,NA,"2018-03-24 23:51:45",FALSE,NA,977694487907651584,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","merceru1993",96,TRUE,FALSE,NA,NA,"Richmond, VA"
"RT @tedlieu: My view before speaking at the South Bay #MarchForOurLives at the #HermosaBeach Pier. Thousands of Americans overflowed the Pi…",FALSE,0,NA,"2018-03-24 23:51:45",FALSE,NA,977694487408402432,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rainbow_Unic0rn",1993,TRUE,FALSE,NA,NA,"Bay Area, CA"
"RT @tedlieu: My view before speaking at the South Bay #MarchForOurLives at the #HermosaBeach Pier. Thousands of Americans overflowed the Pi…",FALSE,0,NA,"2018-03-24 23:51:30",FALSE,NA,977694424523313152,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","24ibelieve",1993,TRUE,FALSE,NA,NA,""
"RT @transunitedfund: We at @transunitedfund were proud to join #MarchForOurLives today, standing up for every life lost to #gunviolence. Th…",FALSE,0,NA,"2018-03-24 23:51:29",FALSE,NA,977694422933692416,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","daye_pope",8,TRUE,FALSE,NA,NA,"Washington, DC"
"RT @rfremson: Thousands demonstrate against gun violence in Seattle during one of hundreds of March for Our Lives protests across the count…",FALSE,0,NA,"2018-03-24 23:51:05",FALSE,NA,977694321041289216,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","swineshine",113,TRUE,FALSE,NA,NA,"United States"
"RT @tedlieu: My view before speaking at the South Bay #MarchForOurLives at the #HermosaBeach Pier. Thousands of Americans overflowed the Pi…",FALSE,0,NA,"2018-03-24 23:51:03",FALSE,NA,977694314661691392,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MartinB323",1993,TRUE,FALSE,NA,NA,""
"'These are children’s lives. We matter’ https://t.co/SvMTx4yYIP #MarchForOurLives #StudentsStandUp… https://t.co/nzejpnsVUW",FALSE,1,NA,"2018-03-24 23:50:53",TRUE,NA,977694272639160320,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KristenZambo",1,FALSE,FALSE,NA,NA,"Illinois, USA"
"RT @transunitedfund: We at @transunitedfund were proud to join #MarchForOurLives today, standing up for every life lost to #gunviolence. Th…",FALSE,0,NA,"2018-03-24 23:50:34",FALSE,NA,977694190741188608,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BreakThroughPAC",8,TRUE,FALSE,NA,NA,"Washington, DC"
"RT @BorderImaginary: 7 a stray bullet came thru my bdrm window, 10 drunk next door neighbor shot his dog to piss off his wife, 13 friend mi…",FALSE,0,NA,"2018-03-24 23:50:17",FALSE,NA,977694119953883136,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cindy02425664",13,TRUE,FALSE,NA,NA,""
