"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","us_states"
"RT @CDCFlu: #Flu and the common cold are both respiratory illnesses, but they are caused by different viruses. Find out more about the diff…",FALSE,0,NA,"3/2/2018 16:44",FALSE,NA,9.7e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","raimifan",103,TRUE,FALSE,-84.7699385,34.7659145,"Chatsworth, GA","Georgia"
"Keep your immune system strong enough to fight off the #flu by adding #superfoods to your daily #diet.… https://t.co/nmf4MiclGd",FALSE,0,NA,"3/2/2018 16:44",TRUE,NA,9.7e+17,NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","OscilloUSA",1,FALSE,FALSE,-75.4007058,39.9868904,"Newtown Square, Pa.","Pennsylvania"
"Keep your immune system strong enough to fight off the #flu by adding #superfoods to your daily #diet.… https://t.co/07IZZ2zDym",FALSE,0,NA,"3/2/2018 16:44",TRUE,NA,9.7e+17,NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","BoironUSA",0,FALSE,FALSE,-75.4007058,39.9868904,"Newtown Square, Pa.","Pennsylvania"
"RT @nycHealthy: .@Walgreens locations in all 5 boroughs of NYC are offering FREE #flu shots to NYers without health insurance. Supplies are…",FALSE,0,NA,"3/2/2018 16:42",FALSE,NA,9.7e+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","terripassick",5,TRUE,FALSE,-74.0059728,40.7127753,"NYC","New York"
"The cumulative rate of laboratory-confirmed hospitalizations due to #flu rose from 74.5 to 81.7 per 100,000 people,… https://t.co/hiJMztkfER",FALSE,0,"gerardgallagher","3/2/2018 16:41",TRUE,9.7e+17,9.7e+17,47141850,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gerardgallagher",0,FALSE,FALSE,-75.387693,39.9167783,"MEDIA, Pa.","Pennsylvania"
"The end is near: #Flu has 'definitely peaked' fro the 2017-18 season. https://t.co/cClrVLU7Qc",FALSE,1,NA,"3/2/2018 16:40",FALSE,NA,9.7e+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","wmalnews",0,FALSE,FALSE,-77.0368707,38.9071923,"Washington DC","District of Columbia"
"The end is near: #Flu has 'definitely peaked' fro the 2017-18 season. https://t.co/tM9ngandZC",FALSE,0,NA,"3/2/2018 16:40",FALSE,NA,9.7e+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","WMALDC",0,FALSE,FALSE,-77.0368707,38.9071923,"Washington DC",NA
"RT @gerardgallagher: The percentage of outpatient visits attributed to #flu declined for a 3rd straight week, falling to 5% after hitting a…",FALSE,0,NA,"3/2/2018 16:40",FALSE,NA,9.7e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FranciscoMarty_",9,TRUE,FALSE,-71.0588801,42.3600825,"Boston, MA","Massachusetts"
"RT @nycHealthy: .@Walgreens locations in all 5 boroughs of NYC are offering FREE #flu shots to NYers without health insurance. Supplies are…",FALSE,0,NA,"3/2/2018 16:40",FALSE,NA,9.7e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MVasquezNYC",5,TRUE,FALSE,-74.0059728,40.7127753,"NYC",NA
"@ChipotleTweets Not sure if this is a mere coincidence, but I threw up last night and this morning.. <ed><U+00A0><U+00BE><ed><U+00B4><U+00A2>
#imsick #foodpoisoning or the #flu",FALSE,0,"msnoellee","3/2/2018 16:39",FALSE,9.69e+17,9.7e+17,357927440,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","msnoellee",0,FALSE,FALSE,-74.0059728,40.7127753,"New York City","New York"
"RT @CDCFlu: #Flu and the common cold are both respiratory illnesses, but they are caused by different viruses. Find out more about the diff…",FALSE,0,NA,"3/2/2018 16:36",FALSE,NA,9.7e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ersoygurkan",103,TRUE,FALSE,27.142826,38.423734,"Izmir-Turkey",NA
"RT @CDCgov: Flu Fact: Did you know you can get flu more than once a season? Multiple flu viruses are circulating, which is why #flu vaccina…",FALSE,0,NA,"3/2/2018 16:36",FALSE,NA,9.7e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ersoygurkan",189,TRUE,FALSE,27.142826,38.423734,"Izmir-Turkey",NA
