jaymaga,254
irishrygirl,253
epidemic,252
failed,252
taken,252
community,251
everyone,251
maryland,251
policies,251
debate,250
man,250
thats,250
month,249
msnbc,249
parklandstudents,249
telling,249
wrote,249
girls,248
speak,248
sumoh,248
states,247
affect,246
filed,245
latiffani,244
steve,244
ade,242
got,242
silence,242
trash,242
alozras,241
close,241
count,241
fixing,241
hands,241
usa,241
path,239
paul,238
person,238
survivor,238
party,237
mind,236
pass,236
joncoopertweets,235
listen,235
may,235
protests,235
amarch,233
home,233
folks,232
lastwave,232
men,232
sales,232
thedemcoalition,232
used,232
city,231
constitution,231
ethics,231
irony,231
complaint,229
demanding,229
thanks,229
truth,229
death,228
repealed,228
uspoliunlocked,227
explode,226
goo,226
gunsensenow,226
reform,226
remember,226
start,226
hosed,225
trumptr,225
unprecedented,225
bclarkiii,224
small,224
kid,223
meganranney,223
post,223
rifle,223
closer,222
buckintennessee,221
exclusive,221
statist,221
act,219
anything,219
buzzfeednews,219
getting,219
idea,219
michelleobama,219
misunderstood,217
timethe,217
best,215
dnc,215
sdc,215
speech,215
guy,214
morning,214
deleted,213
safer,213
changes,212
watch,211
energy,210
save,210
stalin,210
looks,209
mediajuggernaut,209
wanted,209
cameronkasky,208
lead,208
amjoyshow,207
survived,207
teens,207
life,206
hard,205
inspired,205
st,204
took,204
voice,204
anywhere,202
maybe,202
cbsnews,200
cleflore,199
nbcnews,199
sound,199
bullets,198
clear,198
maddow,198
others,197
twitter,197
cause,195
makeamericagreatagain,195
redwaverising,195
amazing,194
votethemout,194
sign,193
publichealth,192
yr,192
soldiers,191
turnout,191
face,190
gotten,190
period,189
poll,189
try,189
calideplorable,188
presence,188
shut,188
asked,187
prevention,187
problem,187
long,186
safe,186
jimmybear,185
puppets,185
reality,185
bocavista,184
forget,184
child,183
find,183
floridaschoolshooting,183
girl,183
might,183
important,182
jimjordan,182
tried,182
anyone,181
gunsafety,181
joenbc,181
million,181
politician,181
tcot,181
affected,180
campaign,180
citizens,180
nbcpolitics,180
chuckgr,179
deaths,179
democrat,179
effective,179
members,179
mo,179
share,179
stopped,179
friend,178
ndamendment,177
list,176
ohio,176
member,175
protestors,175
education,174
promise,174
senatemajldr,174
turn,174
entire,173
heart,173
program,173
church,172
point,172
talked,172
called,171
jennpozner,171
mlk,171
ready,171
youtube,171
bluewave,170
last,170
power,170
rumpfshaker,170
data,169
free,169
sit,169
arms,168
mar,167
local,166
permits,166
tx,166
purchase,165
companies,164
gunculture,164
needs,164
drop,163
leader,163
dangerous,162
little,162
true,162
united,162
adults,161
asking,161
fk,161
happens,161
story,161
days,160
listening,160
lsmith,160
cpac,159
front,159
mschlapp,159
msdstrong,159
parents,159
required,159
seeing,159
system,159
advocate,158
showing,158
voters,158
bring,157
dead,157
deal,157
leaders,157
siriusxmpatriot,157
class,156
marches,156
massshootings,156
purpose,156
tens,156
ianbwalters,155
owner,155
happening,154
parklandstudentsspeak,154
raehanbobby,154
mental,153
solution,153
commonsense,152
opensecretsdc,152
outside,152
advocating,151
words,151
jackpolakoff,150
joyannreid,149
visit,149
wants,149
without,149
issues,148
realitycheck,148
tweet,148
angry,147
balcony,147
fbi,147
propaganda,147
redpainter,147
shattered,147
already,146
drive,146
happy,146
jefferson,146
motel,146
nightclubs,146
streetson,146
berniceking,145
everywhere,145
groups,145
national,145
advocates,144
approach,144
meeting,144
policy,144
shows,144
together,144
written,144
fully,143
mocowbell,143
paid,143
rename,142
anybody,141
denied,141
fund,141
record,141
senjackreed,141
soon,141
standing,141
takes,141
tec,141
comment,140
facing,140
funding,140
jilldlawrence,140
loca,140
nc,140
powerful,140
revjjackson,140
sheriff,140
similar,140
tomcarterforms,140
favor,139
unarmed,139
open,138
charliekirk,137
combat,137
founders,137
meet,137
vp,137
finally,136
huge,136
mc,136
patriots,136
protesting,136
exactly,135
conceal,134
concerts,134
fantastic,134
licensing,134
malmet,134
secretservice,134
abortion,133
b,133
negative,133
ppl,133
prevent,133
received,133
reduce,133
anyway,132
care,132
gua,132
hunting,132
lines,132
saying,132
vehicle,132
watching,132
cannot,131
election,131
nj,131
nyc,131
sdemarco,131
transpor,131
billauclair,130
firearm,130
note,130
oped,130
past,130
rjgatoresq,130
stevens,130
week,130
facebook,129
handgun,129
oh,129
side,129
ask,128
delaneytarr,128
mises,128
moms,128
put,128
shoot,128
things,128
capitol,127
dhsgov,127
kind,127
greatawakening,126
matter,126
mfolboston,126
attn,125
become,125
implementing,125
calls,124
latest,124
least,124
onevoiceus,124
pile,124
repealing,124
society,124
stands,124
trauma,124
wisconsin,124
crime,123
housedemocrats,123
mepolitics,123
place,123
pushing,123
tonight,123
ag,122
came,122
ednachavez,122
fbr,122
patrol,122
bro,121
ho,121
longer,121
marchforourlivesdc,121
omg,121
secondamendment,121
seems,121
opinion,120
sarahchadwickk,120
blacklivesmatter,119
minutes,119
omnibus,119
rejectthenra,119
tarastrong,119
thinking,119
bad,118
begin,118
doctors,118
fisher,118
gunc,118
im,118
passion,118
sorry,118
sticks,118
authorities,117
quintezbrown,117
rulers,117
wait,117
bullying,116
buying,116
ente,116
mikepence,116
narrative,116
conversation,115
dictators,115
disarmed,115
discuss,115
invented,115
lawmakers,115
murderous,115
notmypre,115
arm,114
county,114
fire,114
mussolini,114
serious,114
threat,114
washtee,114
gunman,113
miles,113
solutions,113
szzeif,113
buy,112
goosebumps,112
jones,112
lot,112
recognized,112
sport,112
suicide,112
difference,111
prison,111
suggests,111
volunteers,111
angelo,110
apa,110
follow,110
fudds,110
group,110
guys,110
inspiring,110
mcdade,110
speakerryan,110
stupid,110
throwthe,110
adamzyglis,109
blood,109
defending,109
distinction,109
elect,109
everytown,109
legit,109
nomore,109
previous,109
seattle,109
steps,109
aynrandpaulryan,108
brave,108
easy,108
exhibited,108
gonna,108
powerhouses,108
schoolsafety,108
wing,108
working,108
agenda,107
cabelas,107
electscottnc,107
far,107
fear,107
hallowed,107
hell,107
major,107
months,107
notes,107
rfremson,107
solved,107
wa,107
demonstrate,106
looking,106
service,106
signed,106
tearing,106
violent,106
communities,105
cpbacon,105
demonstration,105
force,105
gets,105
minnpatriot,105
neveragainmsd,105
buncombe,104
criminal,104
evidence,104
internet,104
republican,104
spoke,104
lucywins,103
stricter,103
theb,103
conservatives,102
leads,102
beginning,101
leading,101
rest,101
sad,101
statement,101
top,101
false,100
guarantee,100
hero,100
leaving,100
murderer,100
notonemore,100
plannedparenthood,100
racist,100
register,100
shannonrwatts,100
weird,100
according,99
activist,99
argument,99
bear,99
cruz,99
rantsoutloud,99
addressing,98
article,98
break,98
douglas,98
europe,98
injured,98
saw,98
text,98
actor,97
choose,97
combined,97
enthusiasm,97
htt,97
picture,97
tyranny,97
wish,97
beckyhagoodhair,96
cringe,96
gina,96
impact,96
knew,96
measures,96
ownership,96
registration,96
ryan,96
security,96
voting,96
deadly,95
deep,95
heading,95
interview,95
killing,95
nashville,95
neighbor,95
noted,95
planned,95
red,95
undefended,95
desperately,94
donate,94
earth,94
limits,94
majority,94
means,94
multiple,94
bullied,93
everyday,93
french,93
martin,93
mentalhealth,93
office,93
spending,93
thankful,93
apapublicint,92
attorney,92
channel,92
firstdayofspring,92
funded,92
wash,92
announce,91
based,91
big,91
evil,91
floridashooting,91
hit,91
lies,91
marchforourlivesboston,91
mindfulmajority,91
