shooting,saturday,449
trump,school,449
trump,year,448
president,people,447
people,old,446
gun,told,444
rallies,gun,444
gun,going,443
measures,gun,443
police,year,443
could,trump,442
laws,school,442
officers,gun,442
man,gun,441
school,month,441
school,states,441
shooting,control,441
people,want,440
president,trade,440
people,many,439
right,gun,439
school,held,438
president,white,437
among,gun,436
control,trump,436
including,gun,436
police,attorney,436
school,says,436
last,people,435
shot,school,435
shot,shooting,435
trump,wall,435
congress,trump,434
school,make,434
shooting,officer,434
year,bill,434
day,gun,433
safety,gun,433
shootings,school,431
trump,bolton,431
trump,korea,431
washington,shooting,431
shooting,lives,430
trump,percent,430
billion,trump,429
gun,senate,429
people,get,429
school,city,429
time,school,429
trump,control,429
control,shooting,428
school,across,428
year,high,428
gun,republicans,426
gun,years,426
washington,high,425
police,shot,424
school,trump,424
think,gun,424
people,student,423
parkland,shooting,422
police,city,421
r,gun,421
school,get,421
high,control,420
school,p,420
democratic,trump,419
held,school,419
gun,action,418
many,school,418
enough,gun,416
attorney,police,414
killed,school,414
national,trump,414
people,laws,414
president,spending,413
school,many,413
shooting,shot,413
change,people,412
see,gun,412
senate,trump,412
cities,gun,411
crowd,gun,411
gun,children,411
maryland,school,411
high,student,410
shot,police,410
even,gun,409
gun,marjory,409
democrats,gun,408
school,shootings,408
state,people,408
black,gun,407
friday,trump,407
people,could,407
trump,south,407
gun,gathered,406
house,president,406
saturday,students,406
students,control,405
years,gun,405
get,school,403
year,police,402
killed,shooting,401
school,schools,401
trump,morning,401
called,gun,400
march,year,400
school,marjory,400
guns,people,399
trump,democratic,399
around,gun,398
gun,democratic,398
gun,near,398
gun,political,398
high,saturday,398
school,day,398
america,gun,397
city,police,397
gun,go,397
trump,tariffs,397
gun,signs,396
saturday,shooting,395
demonstrators,gun,394
school,time,394
violence,students,394
president,republican,393
trump,make,393
gun,take,392
people,american,391
people,change,391
students,student,391
voters,gun,391
trump,election,390
gun,around,389
gun,times,389
president,american,389
shooting,rally,389
assault,gun,388
city,people,388
people,killed,388
protest,gun,388
sterling,police,388
political,trump,387
school,weapons,386
schools,school,386
shooting,last,386
gun,ban,385
school,rallies,385
states,school,385
leaders,trump,384
president,democrats,384
gun,restrictions,383
