"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location"
"RT @APAPublicInt: Are you going to the #MarchforOurLives on March 24? Join @APA in calling for a public health approach to the #gunviolence…",FALSE,0,NA,"3/23/2018 23:26",FALSE,NA,9.77326e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrStelter",3,TRUE,FALSE,NA,NA,"Long Beach, California USA"
"RT @BerniceKing: #Enough

In honor of all whose lives have been shattered by bullets in schools, nightclubs, streets...on a motel balcony.…",FALSE,0,NA,"3/23/2018 23:25",FALSE,NA,9.77326e+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Counselor_Evans",321,TRUE,FALSE,NA,NA,"Georgia, USA"
"""Research found a 15.4% reduction in firearm suicide rate associated with Connecticut’s enactment of a permit-to-pu… https://t.co/D3Lh7eZzoR",FALSE,1,NA,"3/23/2018 23:25",TRUE,NA,9.77325e+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","nyupublichealth",0,FALSE,FALSE,NA,NA,"New York, NY"
"RT @SenJackReed: Gearing up to join RI students &amp; families in DC tomorrow for the #MarchForOurLives rally against #gunviolence. Proud to st…",FALSE,0,NA,"3/23/2018 23:24",FALSE,NA,9.77325e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RIDemParty",34,TRUE,FALSE,NA,NA,"Rhode Island"
"RT @DMVBlackLives: Black folks in DC have been addressing #gunviolence for years. We demanded legislation that uses a public health communi…",FALSE,0,NA,"3/23/2018 23:23",FALSE,NA,9.77325e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nknapper",83,TRUE,FALSE,NA,NA,"Washington, DC"
"RT @ConnConnection: Really wish that coverage of these #redflag proposals would discuss the importance of evidence of VIOLENCE or DANGEROUS…",FALSE,0,NA,"3/23/2018 23:23",FALSE,NA,9.77325e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bragg_8",3,TRUE,FALSE,NA,NA,"Connecticut, USA"
"RT @SenJackReed: Gearing up to join RI students &amp; families in DC tomorrow for the #MarchForOurLives rally against #gunviolence. Proud to st…",FALSE,0,NA,"3/23/2018 23:20",FALSE,NA,9.77324e+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TaraCorreia",34,TRUE,FALSE,NA,NA,"Rhode Island"
"RT @JusWurk: This is such a beautiful sight to see the #YouthOfAmerica together #positivevibes #leadbyexample #GunViolence #Activist and th…",FALSE,0,NA,"3/23/2018 23:17",FALSE,NA,9.77323e+17,NA,"<a href=""https://www.nositeforabot.com"" rel=""nofollow"">Justasample</a>","skeretatadj",2,TRUE,FALSE,NA,NA,"IG: Skeretata"
"RT @BerniceKing: #Enough

In honor of all whose lives have been shattered by bullets in schools, nightclubs, streets...on a motel balcony.…",FALSE,0,NA,"3/23/2018 23:16",FALSE,NA,9.77323e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","keithleamovies",321,TRUE,FALSE,NA,NA,"Stockton, CA"
"RT @SenJackReed: Gearing up to join RI students &amp; families in DC tomorrow for the #MarchForOurLives rally against #gunviolence. Proud to st…",FALSE,0,NA,"3/23/2018 23:16",FALSE,NA,9.77323e+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","silverthornn264",34,TRUE,FALSE,NA,NA,"United States"
